customer_id,company_name,country,industry,entity_type,annual_revenue_usd,expected_monthly_txn_usd,pep_flag,sanctions_flag,ownership_complexity,source_of_funds_risk,created_date
CUST001,Company_001,Hong Kong,E-commerce,Partnership,2104301,122026,0,0,Low,High,2026-06-17
CUST002,Company_002,Hong Kong,Software,Private Limited Company,3589336,21663,0,0,Low,Low,2026-07-01
CUST003,Company_003,Hong Kong,Consulting,LLC,4289227,320631,0,0,Medium,Medium,2026-07-01
CUST004,Company_004,Indonesia,Software,Sole Proprietorship,1899189,240514,0,0,Medium,Low,2026-04-20
CUST005,Company_005,Philippines,E-commerce,LLC,3595146,183389,0,0,Low,Low,2026-05-30
CUST006,Company_006,Malaysia,Consulting,Partnership,907401,53625,0,0,Medium,Low,2026-05-17
CUST007,Company_007,Hong Kong,Digital Assets,Partnership,2268961,428167,0,0,Medium,High,2026-06-29
CUST008,Company_008,Cayman Islands,Software,Private Limited Company,3225376,46313,0,0,Medium,Low,2026-04-25
CUST009,Company_009,Philippines,Investment Holding,Partnership,4893180,105814,1,0,Low,High,2026-04-05
CUST010,Company_010,Hong Kong,E-commerce,LLC,2477562,46833,0,0,Low,Low,2026-03-17
CUST011,Company_011,Indonesia,Fintech,Sole Proprietorship,2381811,242717,0,0,Low,Low,2026-04-14
CUST012,Company_012,United Arab Emirates,Trading,Partnership,3030226,114842,0,0,Low,Medium,2026-04-10
CUST013,Company_013,Philippines,Fintech,LLC,4530690,387272,1,0,Medium,Low,2026-06-03
CUST014,Company_014,Malaysia,Logistics,Sole Proprietorship,2314486,490171,0,0,High,Medium,2026-04-14
CUST015,Company_015,Indonesia,Digital Assets,Private Limited Company,1971394,435861,0,0,Low,Low,2026-06-30
CUST016,Company_016,United Arab Emirates,Payments,Partnership,605230,115615,0,0,Low,Low,2026-03-10
CUST017,Company_017,United Arab Emirates,Consulting,Sole Proprietorship,3368800,468828,0,0,Low,Low,2026-03-09
CUST018,Company_018,Cayman Islands,Trading,Partnership,1221304,134303,0,0,Low,High,2026-03-31
CUST019,Company_019,Philippines,Investment Holding,Sole Proprietorship,4945028,214400,0,0,Low,High,2026-05-19
CUST020,Company_020,Indonesia,Trading,Sole Proprietorship,812603,401247,0,0,Medium,Low,2026-06-28
CUST021,Company_021,Hong Kong,Trading,LLC,3591334,317690,0,0,High,Medium,2026-06-26
CUST022,Company_022,British Virgin Islands,Payments,Sole Proprietorship,4488532,136813,0,0,Medium,Medium,2026-04-25
CUST023,Company_023,Singapore,Fintech,Partnership,2903598,63485,0,0,High,Low,2026-05-28
CUST024,Company_024,British Virgin Islands,Trading,Sole Proprietorship,77223,383584,0,0,High,Medium,2026-03-14
CUST025,Company_025,Philippines,Software,LLC,4308742,483479,0,0,Medium,Low,2026-06-21
CUST026,Company_026,Philippines,Software,LLC,1332108,201038,0,0,Low,Medium,2026-03-29
CUST027,Company_027,Malaysia,Software,Private Limited Company,2769218,261170,0,0,High,Low,2026-07-02
CUST028,Company_028,Hong Kong,Digital Assets,Partnership,2058671,35369,0,0,Medium,Low,2026-06-04
CUST029,Company_029,Hong Kong,Fintech,Sole Proprietorship,630596,403774,0,0,High,Medium,2026-04-27
CUST030,Company_030,Malaysia,Trading,Sole Proprietorship,4662086,91574,0,0,Medium,Low,2026-06-01
CUST031,Company_031,British Virgin Islands,Consulting,LLC,2664865,214186,0,0,High,High,2026-04-10
CUST032,Company_032,United Arab Emirates,Logistics,Sole Proprietorship,1065056,134973,0,0,Low,Low,2026-06-06
CUST033,Company_033,Hong Kong,Digital Assets,Private Limited Company,4985091,295414,0,0,Low,Medium,2026-06-05
CUST034,Company_034,Indonesia,E-commerce,Private Limited Company,543868,125031,0,0,Low,Low,2026-06-26
CUST035,Company_035,Singapore,Digital Assets,Private Limited Company,4363054,129782,0,1,Medium,High,2026-05-30
CUST036,Company_036,Cayman Islands,Consulting,LLC,4840256,307100,0,0,High,Low,2026-05-05
CUST037,Company_037,Indonesia,Logistics,Sole Proprietorship,1647274,54453,0,0,Low,Low,2026-06-22
CUST038,Company_038,British Virgin Islands,Digital Assets,Sole Proprietorship,3498575,249855,1,0,Low,Low,2026-03-16
CUST039,Company_039,Singapore,Fintech,Private Limited Company,3427432,386793,1,0,Low,Low,2026-05-22
CUST040,Company_040,Hong Kong,Consulting,LLC,1645587,286168,0,0,Medium,Medium,2026-05-08
CUST041,Company_041,Malaysia,Payments,LLC,2386606,247550,0,0,Low,Medium,2026-06-03
CUST042,Company_042,Hong Kong,Logistics,Private Limited Company,474365,346911,0,0,Low,Medium,2026-04-26
CUST043,Company_043,Singapore,Fintech,LLC,1445118,218078,0,0,Low,Low,2026-05-03
CUST044,Company_044,Cayman Islands,Consulting,Sole Proprietorship,541869,91317,0,0,Medium,Low,2026-05-17
CUST045,Company_045,Singapore,Payments,Partnership,3866886,154552,0,0,Medium,Low,2026-05-11
CUST046,Company_046,Cayman Islands,Trading,LLC,2538965,119137,1,0,Medium,Low,2026-06-27
CUST047,Company_047,Singapore,Digital Assets,Private Limited Company,470624,311277,0,0,Medium,Medium,2026-05-04
CUST048,Company_048,Malaysia,E-commerce,Private Limited Company,1608812,40924,0,0,Medium,Low,2026-04-19
CUST049,Company_049,Hong Kong,Consulting,Sole Proprietorship,1055681,498667,0,0,High,Medium,2026-03-13
CUST050,Company_050,Indonesia,Investment Holding,Private Limited Company,737726,224794,1,0,High,High,2026-04-11
CUST051,Company_051,United Arab Emirates,Gaming,LLC,2685565,130140,0,0,High,Low,2026-06-01
CUST052,Company_052,British Virgin Islands,Trading,Partnership,3885477,170767,0,0,High,Low,2026-03-08
CUST053,Company_053,Hong Kong,E-commerce,Sole Proprietorship,4772732,57418,0,0,Low,Low,2026-06-25
CUST054,Company_054,Indonesia,Software,Partnership,1161126,494296,0,0,Medium,Low,2026-05-21
CUST055,Company_055,Hong Kong,Consulting,Partnership,2440647,87704,0,0,Low,Medium,2026-05-09
CUST056,Company_056,Philippines,Investment Holding,Private Limited Company,4702341,161960,0,0,High,Medium,2026-03-07
CUST057,Company_057,Hong Kong,Trading,Partnership,1018285,471465,1,0,Low,Low,2026-06-21
CUST058,Company_058,Malaysia,Gaming,Partnership,1816889,381235,0,0,High,Medium,2026-05-22
CUST059,Company_059,Indonesia,Gaming,Sole Proprietorship,2156557,479657,0,0,Medium,Medium,2026-03-10
CUST060,Company_060,Singapore,Fintech,Sole Proprietorship,2370961,28114,0,0,Low,Low,2026-07-04
CUST061,Company_061,United Arab Emirates,Trading,Partnership,1405447,393618,0,0,High,High,2026-05-09
CUST062,Company_062,British Virgin Islands,Software,Private Limited Company,988466,44449,0,0,Low,High,2026-03-13
CUST063,Company_063,Malaysia,Software,Private Limited Company,3147208,310402,0,0,High,Medium,2026-04-25
CUST064,Company_064,Malaysia,Payments,LLC,400885,166616,0,0,High,Low,2026-05-19
CUST065,Company_065,Singapore,Digital Assets,LLC,2143207,354665,0,0,High,Medium,2026-06-21
CUST066,Company_066,United Arab Emirates,Software,Sole Proprietorship,1346487,490366,0,0,Medium,High,2026-03-07
CUST067,Company_067,Indonesia,Trading,LLC,3508576,17995,0,0,High,Medium,2026-06-12
CUST068,Company_068,United Arab Emirates,Payments,LLC,2288128,88465,0,0,Low,Low,2026-03-26
CUST069,Company_069,Hong Kong,Payments,Private Limited Company,3998434,121619,0,0,High,High,2026-06-09
CUST070,Company_070,Cayman Islands,Digital Assets,Partnership,1959209,121876,0,0,High,Medium,2026-07-01
CUST071,Company_071,Indonesia,Payments,Partnership,2387091,458169,0,0,High,Low,2026-06-26
CUST072,Company_072,Philippines,Digital Assets,Sole Proprietorship,4548103,178617,0,0,Medium,Low,2026-07-01
CUST073,Company_073,Hong Kong,Gaming,LLC,4920339,144180,0,0,Medium,Medium,2026-06-30
CUST074,Company_074,Hong Kong,Investment Holding,Sole Proprietorship,2949833,386967,0,0,High,Medium,2026-03-26
CUST075,Company_075,United Arab Emirates,Payments,Private Limited Company,3281253,476599,0,0,Medium,Low,2026-04-22
CUST076,Company_076,Indonesia,Gaming,Private Limited Company,3707915,5886,0,0,Low,Medium,2026-04-29
CUST077,Company_077,Indonesia,Digital Assets,Sole Proprietorship,636982,353251,0,0,High,High,2026-03-09
CUST078,Company_078,United Arab Emirates,Investment Holding,Partnership,1095432,382358,0,0,High,Low,2026-03-11
CUST079,Company_079,Philippines,Software,Partnership,3475848,176013,0,0,Low,High,2026-05-14
CUST080,Company_080,Philippines,Software,LLC,1659271,225434,0,0,Low,Low,2026-04-10
CUST081,Company_081,British Virgin Islands,Trading,Partnership,3456405,292276,0,0,Medium,High,2026-03-20
CUST082,Company_082,Singapore,Gaming,Partnership,1813140,230385,0,0,High,High,2026-03-26
CUST083,Company_083,United Arab Emirates,Logistics,Sole Proprietorship,3759105,359223,0,0,Low,Low,2026-06-07
CUST084,Company_084,Cayman Islands,Trading,Private Limited Company,2430572,275245,0,0,Low,Low,2026-04-11
CUST085,Company_085,United Arab Emirates,Fintech,LLC,2653987,122776,0,0,High,Medium,2026-03-23
CUST086,Company_086,Indonesia,Trading,Private Limited Company,437668,133368,0,0,Low,Low,2026-05-05
CUST087,Company_087,Hong Kong,Logistics,Sole Proprietorship,4879077,106940,0,0,Low,Medium,2026-04-04
CUST088,Company_088,British Virgin Islands,Logistics,Sole Proprietorship,2096689,82369,0,0,Medium,Medium,2026-04-12
CUST089,Company_089,Singapore,Fintech,Sole Proprietorship,1885772,97215,0,0,Medium,Low,2026-03-24
CUST090,Company_090,Cayman Islands,E-commerce,LLC,1068029,244317,1,0,Low,Medium,2026-06-17
CUST091,Company_091,Cayman Islands,Software,Partnership,3762574,326206,0,0,Medium,Medium,2026-03-22
CUST092,Company_092,British Virgin Islands,Software,Sole Proprietorship,1385113,394889,1,0,High,Medium,2026-03-16
CUST093,Company_093,Cayman Islands,Logistics,Partnership,2123997,445330,0,0,Low,Low,2026-04-14
CUST094,Company_094,Philippines,Software,Sole Proprietorship,2056939,148968,0,0,Low,Medium,2026-05-09
CUST095,Company_095,Hong Kong,Gaming,LLC,2329311,181080,0,0,High,Low,2026-05-25
CUST096,Company_096,Hong Kong,Trading,LLC,1989961,205820,0,0,Low,Medium,2026-04-07
CUST097,Company_097,Malaysia,Consulting,Private Limited Company,3530164,218699,0,0,Medium,Medium,2026-05-23
CUST098,Company_098,Cayman Islands,Payments,Private Limited Company,1785052,441674,1,0,High,High,2026-05-12
CUST099,Company_099,British Virgin Islands,Investment Holding,Private Limited Company,4879240,204429,0,0,Medium,High,2026-05-04
CUST100,Company_100,Singapore,Digital Assets,Partnership,3321445,452452,0,0,High,Medium,2026-03-12
CUST101,Company_101,British Virgin Islands,Software,LLC,4145565,120040,0,0,Low,High,2026-05-31
CUST102,Company_102,British Virgin Islands,Logistics,Private Limited Company,3311970,181228,0,0,Medium,High,2026-04-10
CUST103,Company_103,British Virgin Islands,Trading,Sole Proprietorship,1120619,331241,0,0,High,Low,2026-04-27
CUST104,Company_104,Singapore,Payments,Private Limited Company,754202,341985,0,0,High,Low,2026-05-11
CUST105,Company_105,Malaysia,Logistics,LLC,471818,141396,0,0,Low,Low,2026-05-17
CUST106,Company_106,United Arab Emirates,Consulting,Sole Proprietorship,2791781,181947,0,0,Medium,Medium,2026-03-29
CUST107,Company_107,British Virgin Islands,Gaming,Sole Proprietorship,2166206,442733,0,0,Low,Medium,2026-06-24
CUST108,Company_108,Cayman Islands,E-commerce,Private Limited Company,2985680,122556,0,0,Medium,Low,2026-04-12
CUST109,Company_109,Hong Kong,E-commerce,Private Limited Company,2124362,109522,0,0,Medium,Low,2026-03-19
CUST110,Company_110,Singapore,Investment Holding,LLC,2051060,71176,0,0,Low,High,2026-05-05
CUST111,Company_111,Hong Kong,Investment Holding,LLC,3950987,371721,0,0,Low,High,2026-06-02
CUST112,Company_112,United Arab Emirates,Trading,Private Limited Company,1423767,168073,1,0,Medium,High,2026-06-21
CUST113,Company_113,Singapore,Gaming,Sole Proprietorship,3377378,498601,0,0,Medium,Low,2026-04-04
CUST114,Company_114,Indonesia,Fintech,LLC,904810,370529,0,0,Low,High,2026-03-28
CUST115,Company_115,Philippines,Investment Holding,Private Limited Company,4797386,415326,0,0,Low,Medium,2026-06-29
CUST116,Company_116,United Arab Emirates,Software,Sole Proprietorship,3158573,41153,0,0,Low,Medium,2026-05-01
