customer_id,risk_score,risk_band,mandatory_docs_complete,decision_route,decision_reason
CUST001,20,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST002,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST003,10,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST004,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST005,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST006,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST007,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST008,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST009,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST010,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST011,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST012,40,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST013,50,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST014,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST015,10,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST016,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST017,25,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST018,55,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST019,20,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST020,25,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST021,45,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST022,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST023,60,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST024,65,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST025,50,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST026,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST027,35,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST028,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST029,30,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST030,15,Low,0,Request Information,Incomplete or unverified mandatory documents
CUST031,75,High,0,Request Information,Incomplete or unverified mandatory documents
CUST032,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST033,40,Medium,0,Request Information,Incomplete or unverified mandatory documents
CUST034,0,Low,1,STP Auto-Approve,Low risk and complete documentation
CUST035,100,High,0,Reject,Sanctions indicator
CUST036,90,High,0,Request Information,Incomplete or unverified mandatory documents
CUST037,15,Low,0,Request Information,Incomplete or unverified mandatory documents
