event_id,customer_id,stage,event_status,event_date
EVT0001,CUST001,application_submitted,Completed,2026-03-29
EVT0002,CUST001,docs_requested,Completed,2026-04-01
EVT0003,CUST001,docs_received,Completed,2026-04-02
EVT0004,CUST001,screening_completed,Completed,2026-04-04
EVT0005,CUST001,analyst_review,Completed,2026-04-07
EVT0006,CUST001,compliance_review,Completed,2026-04-09
EVT0007,CUST001,approved,Completed,2026-04-12
EVT0008,CUST002,application_submitted,Completed,2026-04-14
EVT0009,CUST002,docs_requested,Completed,2026-04-18
EVT0010,CUST002,docs_received,Completed,2026-04-19
EVT0011,CUST002,screening_completed,Completed,2026-04-23
EVT0012,CUST002,analyst_review,Completed,2026-04-26
EVT0013,CUST002,compliance_review,Completed,2026-04-29
EVT0014,CUST002,approved,Completed,2026-05-03
EVT0015,CUST003,application_submitted,Completed,2026-04-16
EVT0016,CUST003,docs_requested,Completed,2026-04-18
EVT0017,CUST003,docs_received,Completed,2026-04-24
EVT0018,CUST003,screening_completed,Completed,2026-04-26
EVT0019,CUST003,analyst_review,Completed,2026-05-02
EVT0020,CUST003,compliance_review,Completed,2026-05-06
EVT0021,CUST003,approved,Completed,2026-05-12
EVT0022,CUST004,application_submitted,Completed,2026-02-04
EVT0023,CUST004,docs_requested,Completed,2026-02-11
EVT0024,CUST004,docs_received,Completed,2026-02-16
EVT0025,CUST004,screening_completed,Completed,2026-02-18
EVT0026,CUST004,analyst_review,Completed,2026-02-25
EVT0027,CUST004,rejected,Completed,2026-02-27
EVT0028,CUST005,application_submitted,Completed,2026-03-15
EVT0029,CUST005,docs_requested,Completed,2026-03-17
EVT0030,CUST005,docs_received,Completed,2026-03-19
EVT0031,CUST005,screening_completed,Completed,2026-03-21
EVT0032,CUST005,analyst_review,Completed,2026-03-25
EVT0033,CUST005,compliance_review,Completed,2026-03-29
EVT0034,CUST005,approved,Completed,2026-04-02
EVT0035,CUST006,application_submitted,Completed,2026-02-28
EVT0036,CUST006,docs_requested,Completed,2026-03-01
EVT0037,CUST006,docs_received,Completed,2026-03-04
EVT0038,CUST006,screening_completed,Completed,2026-03-08
EVT0039,CUST006,analyst_review,Completed,2026-03-12
EVT0040,CUST006,compliance_review,Completed,2026-03-15
EVT0041,CUST006,approved,Completed,2026-03-19
EVT0042,CUST007,application_submitted,Completed,2026-04-14
