flag_id,customer_id,flag_type,flag_severity,created_date
FLAG0001,CUST002,incomplete_docs,Medium,2026-04-10
FLAG0002,CUST003,unusual_expected_volume,Medium,2026-04-10
FLAG0003,CUST003,incomplete_docs,Medium,2026-04-10
FLAG0004,CUST004,unusual_expected_volume,Medium,2026-01-28
FLAG0005,CUST004,adverse_media,High,2026-01-28
FLAG0006,CUST004,incomplete_docs,Medium,2026-01-28
FLAG0007,CUST005,unusual_expected_volume,Medium,2026-03-09
FLAG0008,CUST005,incomplete_docs,Medium,2026-03-09
FLAG0009,CUST006,incomplete_docs,Medium,2026-02-24
FLAG0010,CUST007,unusual_expected_volume,Medium,2026-04-08
FLAG0011,CUST007,incomplete_docs,Medium,2026-04-08
FLAG0012,CUST008,high_risk_jurisdiction,High,2026-02-02
FLAG0013,CUST008,complex_ubo,High,2026-02-02
FLAG0014,CUST008,incomplete_docs,Medium,2026-02-02
FLAG0015,CUST009,complex_ubo,High,2026-01-13
FLAG0016,CUST009,incomplete_docs,Medium,2026-01-13
FLAG0017,CUST010,incomplete_docs,Medium,2025-12-25
FLAG0018,CUST011,unusual_expected_volume,Medium,2026-01-22
FLAG0019,CUST011,incomplete_docs,Medium,2026-01-22
FLAG0020,CUST012,incomplete_docs,Medium,2026-01-18
FLAG0021,CUST013,complex_ubo,High,2026-03-13
FLAG0022,CUST013,unusual_expected_volume,Medium,2026-03-13
FLAG0023,CUST013,adverse_media,High,2026-03-13
FLAG0024,CUST014,unusual_expected_volume,Medium,2026-01-22
FLAG0025,CUST014,incomplete_docs,Medium,2026-01-22
FLAG0026,CUST015,unusual_expected_volume,Medium,2026-04-09
FLAG0027,CUST015,adverse_media,High,2026-04-09
FLAG0028,CUST015,incomplete_docs,Medium,2026-04-09
FLAG0029,CUST016,incomplete_docs,Medium,2025-12-18
FLAG0030,CUST017,unusual_expected_volume,Medium,2025-12-17
FLAG0031,CUST017,incomplete_docs,Medium,2025-12-17
FLAG0032,CUST018,high_risk_jurisdiction,High,2026-01-08
FLAG0033,CUST018,complex_ubo,High,2026-01-08
FLAG0034,CUST018,incomplete_docs,Medium,2026-01-08
FLAG0035,CUST019,complex_ubo,High,2026-02-26
FLAG0036,CUST019,unusual_expected_volume,Medium,2026-02-26
FLAG0037,CUST020,unusual_expected_volume,Medium,2026-04-07
