flag_id,customer_id,flag_type,flag_severity,created_date,risk_weight
FLAG0001,CUST001,high_source_of_funds_risk,High,2026-06-17,20
FLAG0002,CUST002,incomplete_docs,Medium,2026-07-01,15
FLAG0003,CUST003,unusual_expected_volume,Medium,2026-07-01,10
FLAG0004,CUST004,incomplete_docs,Medium,2026-04-20,15
FLAG0005,CUST006,incomplete_docs,Medium,2026-05-17,15
FLAG0006,CUST007,high_source_of_funds_risk,High,2026-06-29,20
FLAG0007,CUST007,unusual_expected_volume,Medium,2026-06-29,10
FLAG0008,CUST007,incomplete_docs,Medium,2026-06-29,15
FLAG0009,CUST008,high_risk_jurisdiction,High,2026-04-25,20
FLAG0010,CUST008,incomplete_docs,Medium,2026-04-25,15
FLAG0011,CUST009,high_source_of_funds_risk,High,2026-04-05,20
FLAG0012,CUST009,pep_exposure,High,2026-04-05,25
FLAG0013,CUST009,incomplete_docs,Medium,2026-04-05,15
FLAG0014,CUST010,incomplete_docs,Medium,2026-03-17,15
FLAG0015,CUST011,incomplete_docs,Medium,2026-04-14,15
FLAG0016,CUST012,adverse_media,High,2026-04-10,25
FLAG0017,CUST012,incomplete_docs,Medium,2026-04-10,15
FLAG0018,CUST013,pep_exposure,High,2026-06-03,25
FLAG0019,CUST013,unusual_expected_volume,Medium,2026-06-03,10
FLAG0020,CUST013,incomplete_docs,Medium,2026-06-03,15
FLAG0021,CUST014,complex_ubo,High,2026-04-14,20
FLAG0022,CUST014,unusual_expected_volume,Medium,2026-04-14,10
FLAG0023,CUST014,incomplete_docs,Medium,2026-04-14,15
FLAG0024,CUST015,unusual_expected_volume,Medium,2026-06-30,10
FLAG0025,CUST016,incomplete_docs,Medium,2026-03-10,15
FLAG0026,CUST017,unusual_expected_volume,Medium,2026-03-09,10
FLAG0027,CUST017,incomplete_docs,Medium,2026-03-09,15
FLAG0028,CUST018,high_risk_jurisdiction,High,2026-03-31,20
FLAG0029,CUST018,high_source_of_funds_risk,High,2026-03-31,20
FLAG0030,CUST018,incomplete_docs,Medium,2026-03-31,15
FLAG0031,CUST019,high_source_of_funds_risk,High,2026-05-19,20
FLAG0032,CUST020,unusual_expected_volume,Medium,2026-06-28,10
FLAG0033,CUST020,incomplete_docs,Medium,2026-06-28,15
FLAG0034,CUST021,complex_ubo,High,2026-06-26,20
FLAG0035,CUST021,unusual_expected_volume,Medium,2026-06-26,10
