customer_id,risk_score,risk_band
CUST001,20,Low
CUST002,15,Low
CUST003,10,Low
CUST004,15,Low
CUST005,0,Low
CUST006,15,Low
CUST007,45,Medium
CUST008,35,Medium
CUST009,60,Medium
CUST010,15,Low
CUST011,15,Low
CUST012,40,Medium
CUST013,50,Medium
CUST014,45,Medium
CUST015,10,Low
CUST016,15,Low
CUST017,25,Low
CUST018,55,Medium
CUST019,20,Low
CUST020,25,Low
CUST021,45,Medium
CUST022,35,Medium
CUST023,60,Medium
CUST024,65,Medium
CUST025,50,Medium
CUST026,0,Low
CUST027,35,Medium
CUST028,15,Low
CUST029,30,Low
CUST030,15,Low
CUST031,75,High
CUST032,0,Low
CUST033,40,Medium
CUST034,0,Low
CUST035,100,High
CUST036,90,High
CUST037,15,Low
CUST038,60,Medium
CUST039,50,Medium
CUST040,15,Low
CUST041,15,Low
CUST042,10,Low
CUST043,15,Low
CUST044,35,Medium
CUST045,15,Low
CUST046,60,Medium
CUST047,10,Low
CUST048,40,Medium
CUST049,45,Medium
CUST050,80,High
CUST051,35,Medium
CUST052,40,Medium
CUST053,0,Low
CUST054,25,Low
CUST055,15,Low
CUST056,20,Low
CUST057,75,High
CUST058,30,Low
CUST059,25,Low
CUST060,15,Low
CUST061,75,High
CUST062,55,Medium
CUST063,45,Medium
CUST064,35,Medium
CUST065,45,Medium
CUST066,45,Medium
CUST067,35,Medium
CUST068,15,Low
CUST069,55,Medium
CUST070,55,Medium
CUST071,45,Medium
CUST072,15,Low
CUST073,15,Low
CUST074,45,Medium
CUST075,25,Low
CUST076,15,Low
CUST077,50,Medium
CUST078,45,Medium
CUST079,35,Medium
CUST080,15,Low
CUST081,80,High
CUST082,55,Medium
CUST083,10,Low
CUST084,35,Medium
CUST085,35,Medium
CUST086,0,Low
CUST087,0,Low
CUST088,35,Medium
CUST089,0,Low
CUST090,60,Medium
CUST091,45,Medium
CUST092,90,High
CUST093,30,Low
CUST094,15,Low
CUST095,60,Medium
CUST096,15,Low
CUST097,15,Low
CUST098,95,High
CUST099,55,Medium
CUST100,70,High
CUST101,80,High
CUST102,40,Medium
CUST103,50,Medium
CUST104,45,Medium
CUST105,0,Low
CUST106,0,Low
CUST107,45,Medium
CUST108,35,Medium
CUST109,15,Low
CUST110,45,Medium
CUST111,70,High
CUST112,60,Medium
CUST113,10,Low
CUST114,45,Medium
CUST115,50,Medium
CUST116,0,Low
CUST117,35,Medium
CUST118,35,Medium
CUST119,100,High
CUST120,40,Medium
