customer_id,company_name,country,industry,entity_type,annual_revenue_usd,expected_monthly_txn_usd,pep_flag,sanctions_flag,ownership_complexity,source_of_funds_risk,created_date,num_flags,decision
CUST001,Company_001,Hong Kong,E-commerce,Partnership,2104301,122026,0,0,Medium,Low,2026-03-27,0,Auto Approve
CUST002,Company_002,Hong Kong,Software,Private Limited Company,3589336,21663,0,0,Low,Medium,2026-04-10,1,Auto Approve
CUST003,Company_003,Hong Kong,Consulting,LLC,4289227,320631,0,0,Low,High,2026-04-10,2,Auto Approve
CUST004,Company_004,Indonesia,Software,Sole Proprietorship,1899189,240514,0,0,Low,Low,2026-01-28,3,Manual Review
CUST005,Company_005,Philippines,E-commerce,LLC,3595146,183389,0,0,Low,Low,2026-03-09,2,Auto Approve
CUST006,Company_006,Malaysia,Consulting,Partnership,907401,53625,0,0,Low,Low,2026-02-24,1,Auto Approve
CUST007,Company_007,Hong Kong,Digital Assets,Partnership,2268961,428167,0,0,Low,Medium,2026-04-08,2,Auto Approve
CUST008,Company_008,Cayman Islands,Software,Private Limited Company,3225376,46313,0,0,High,Low,2026-02-02,3,Manual Review
CUST009,Company_009,Philippines,Investment Holding,Partnership,4893180,105814,0,0,High,High,2026-01-13,2,Auto Approve
CUST010,Company_010,Hong Kong,E-commerce,LLC,2477562,46833,0,0,Medium,Low,2025-12-25,1,Auto Approve
CUST011,Company_011,Indonesia,Fintech,Sole Proprietorship,2381811,242717,0,0,Low,High,2026-01-22,2,Auto Approve
CUST012,Company_012,United Arab Emirates,Trading,Partnership,3030226,114842,0,0,Low,Low,2026-01-18,1,Auto Approve
CUST013,Company_013,Philippines,Fintech,LLC,4530690,387272,0,0,High,Medium,2026-03-13,3,Manual Review
CUST014,Company_014,Malaysia,Logistics,Sole Proprietorship,2314486,490171,1,0,Medium,High,2026-01-22,2,Auto Approve
CUST015,Company_015,Indonesia,Digital Assets,Private Limited Company,1971394,435861,0,0,Low,Medium,2026-04-09,3,Manual Review
CUST016,Company_016,United Arab Emirates,Payments,Partnership,605230,115615,0,0,Medium,Low,2025-12-18,1,Auto Approve
CUST017,Company_017,United Arab Emirates,Consulting,Sole Proprietorship,3368800,468828,0,0,Low,Medium,2025-12-17,2,Auto Approve
CUST018,Company_018,Cayman Islands,Trading,Partnership,1221304,134303,0,1,High,Low,2026-01-08,3,Reject
CUST019,Company_019,Philippines,Investment Holding,Sole Proprietorship,4945028,214400,0,0,High,High,2026-02-26,2,Auto Approve
CUST020,Company_020,Indonesia,Trading,Sole Proprietorship,812603,401247,0,0,Low,Low,2026-04-07,1,Auto Approve
CUST021,Company_021,Hong Kong,Trading,LLC,3591334,317690,0,0,Low,Low,2026-04-05,2,Auto Approve
CUST022,Company_022,British Virgin Islands,Payments,Sole Proprietorship,4488532,136813,0,0,High,Medium,2026-02-02,3,Manual Review
CUST023,Company_023,Singapore,Fintech,Partnership,2903598,63485,0,0,Low,Medium,2026-03-07,1,Auto Approve
CUST024,Company_024,British Virgin Islands,Trading,Sole Proprietorship,77223,383584,0,0,High,Medium,2025-12-22,3,Manual Review
CUST025,Company_025,Philippines,Software,LLC,4308742,483479,0,0,Low,Low,2026-03-31,2,Auto Approve
CUST026,Company_026,Philippines,Software,LLC,1332108,201038,0,0,Low,Low,2026-01-06,1,Auto Approve
CUST027,Company_027,Malaysia,Software,Private Limited Company,2769218,261170,1,0,Low,Medium,2026-04-11,2,Auto Approve
CUST028,Company_028,Hong Kong,Digital Assets,Partnership,2058671,35369,0,0,Medium,Low,2026-03-14,1,Auto Approve
CUST029,Company_029,Hong Kong,Fintech,Sole Proprietorship,630596,403774,1,0,Medium,Medium,2026-02-04,2,Auto Approve
CUST030,Company_030,Malaysia,Trading,Sole Proprietorship,4662086,91574,0,0,High,Low,2026-03-11,2,Auto Approve
CUST031,Company_031,British Virgin Islands,Consulting,LLC,2664865,214186,0,0,Medium,Low,2026-01-18,3,Manual Review
CUST032,Company_032,United Arab Emirates,Logistics,Sole Proprietorship,1065056,134973,0,0,Medium,Medium,2026-03-16,1,Auto Approve
CUST033,Company_033,Hong Kong,Digital Assets,Private Limited Company,4985091,295414,0,0,Medium,Low,2026-03-15,2,Auto Approve
CUST034,Company_034,Indonesia,E-commerce,Private Limited Company,543868,125031,0,0,High,Low,2026-04-05,2,Auto Approve
CUST035,Company_035,Singapore,Digital Assets,Private Limited Company,4363054,129782,0,0,Medium,High,2026-03-09,0,Auto Approve
CUST036,Company_036,Cayman Islands,Consulting,LLC,4840256,307100,1,0,Medium,Medium,2026-02-12,3,Manual Review
CUST037,Company_037,Indonesia,Logistics,Sole Proprietorship,1647274,54453,0,0,Medium,Low,2026-04-01,1,Auto Approve
CUST038,Company_038,British Virgin Islands,Digital Assets,Sole Proprietorship,3498575,249855,0,0,High,Low,2025-12-24,4,Manual Review
CUST039,Company_039,Singapore,Fintech,Private Limited Company,3427432,386793,0,0,High,Low,2026-03-01,3,Manual Review
